point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps
2,60,180,30,2,2.410155,1.491663,414.9111
2,60,180,30,3,2.418347,1.50511,413.5056
2,60,270,-30,0,2.39616,1.547277,417.3344
2,60,270,-30,1,2.38691,1.55299,418.9517
2,60,270,-30,2,2.381517,1.52263,419.9005
2,60,270,-30,3,2.381994,1.485216,419.8163
2,60,270,0,0,2.422545,1.638937,412.789
2,60,270,0,1,2.382677,1.593263,419.696
2,60,270,0,2,2.419473,1.557924,413.3132
2,60,270,0,3,2.397526,1.58137,417.0967
2,60,270,30,0,2.37312,1.57447,421.3862
2,60,270,30,1,2.391176,1.832047,418.2042
2,60,270,30,2,2.362129,1.566324,423.3469
2,60,270,30,3,2.393805,1.52071,417.745
3,-60,0,-30,0,1.752269,1.535607,570.6888
3,-60,0,-30,1,1.739298,1.55182,574.9447
3,-60,0,-30,2,1.745852,1.479786,572.7864
3,-60,0,-30,3,1.747592,1.476723,572.2158
3,-60,0,0,0,1.487019,1.514787,660.1589
3,-60,0,0,1,1.455104,1.525127,655.6832
3,-60,0,0,2,1.489203,1.507313,663.4321
3,-60,0,0,3,1.458176,1.4655,682.361
3,-60,0,30,0,1.743462,1.49667,573.5714
3,-60,0,30,1,1.70199,1.53216,587.5474
3,-60,0,30,2,1.744555,1.50028,573.2122
3,-60,0,30,3,1.708305,1.469736,585.3755
3,-60,90,-30,0,1.789508,1.51678,558.8127
3,-60,90,-30,1,1.740459,1.53159,574.5612
3,-60,90,-30,2,1.763294,1.489507,567.1205
3,-60,90,-30,3,1.776879,1.52612,562.7845
3,-60,90,0,0,1.559074,1.51684,641.4064
3,-60,90,0,1,1.561293,1.485103,640.4948
3,-60,90,0,2,1.557675,1.554237,641.9825
3,-60,90,0,3,1.527979,1.53638,650.8806
3,-60,90,30,0,1.810978,1.5278,552.1877
3,-60,90,30,1,1.815757,1.487233,550.7346
3,-60,90,30,2,1.762167,1.476033,567.483
3,-60,90,30,3,1.816303,1.466027,550.569
3,-60,180,-30,0,1.598111,1.52162,625.7389
3,-60,180,-30,1,1.577472,1.47304,633.9257
3,-60,180,-30,2,1.571704,1.508543,636.2523
3,-60,180,-30,3,1.58464,1.525657,631.0582
3,-60,180,0,0,1.617203,1.472587,618.3515
3,-60,180,0,1,1.592525,1.50104,627.9338
3,-60,180,0,2,1.587917,1.492923,629.7559
3,-60,180,0,3,1.59348,1.474117,627.5571
3,-60,180,30,0,1.59761,1.499553,625.9348
3,-60,180,30,1,1.582421,1.51601,631.9429
3,-60,180,30,2,1.61478,1.450593,619.2795
3,-60,180,30,3,1.613312,1.46723,619.843
3,-60,270,-30,0,1.557675,1.49427,641.9825
3,-60,270,-30,1,1.523985,1.54442,647.4922
3,-60,270,-30,2,1.558289,1.515833,641.7295
3,-60,270,-30,3,1.551564,1.503747,644.5107
3,-60,270,0,0,1.54979,1.478687,645.2488
3,-60,270,0,1,1.529583,1.47846,653.7731
3,-60,270,0,2,1.543475,1.45875,647.8887
3,-60,270,0,3,1.54822,1.518223,645.9031
3,-60,270,30,0,1.543953,1.557887,641.8953
3,-60,270,30,1,1.511663,1.49591,661.5231
3,-60,270,30,2,1.541939,1.53485,648.5341
3,-60,270,30,3,1.540676,1.51275,649.0656
3,0,0,-30,0,4.23521,8.001889,124.9705
3,0,0,-30,1,3.944124,6.328874,158.006
3,0,0,-30,2,3.929358,6.281742,159.1915
3,0,0,-30,3,3.047817,3.483536,287.0647
3,0,0,0,0,4.605287,8.452612,118.3066
3,0,0,0,1,4.135093,6.677047,149.7668
3,0,0,0,2,3.941632,6.505534,153.7153
3,0,0,0,3,3.039762,3.528304,283.4223
3,0,0,30,0,3.593325,5.21621,191.7101
3,0,0,30,1,3.259867,4.25195,235.1862
3,0,0,30,2,3.188361,4.22637,236.6097
3,0,0,30,3,2.749918,2.962493,337.5535
3,0,90,-30,0,3.415825,4.915684,203.4305
3,0,90,-30,1,3.022609,3.866486,258.6328
3,0,90,-30,2,2.944512,3.741966,267.2392
3,0,90,-30,3,2.711415,2.97079,336.6108
3,0,90,0,0,4.159744,8.004816,124.9248
3,0,90,0,1,3.742976,5.383878,185.7397
3,0,90,0,2,3.701842,5.59176,178.8346
3,0,90,0,3,2.94923,3.724507,268.4919
3,0,90,30,0,4.311619,8.005821,124.9091
3,0,90,30,1,3.718101,5.953466,167.9694
3,0,90,30,2,3.613111,5.486904,182.2521
3,0,90,30,3,2.906332,3.558875,280.9877
3,0,180,-30,0,2.071381,1.518767,482.7696
3,0,180,-30,1,2.033835,1.454987,491.682
3,0,180,-30,2,2.0153,1.45548,496.204
3,0,180,-30,3,2.01629,1.467353,495.9604
3,0,180,0,0,2.008235,1.52683,497.9498
3,0,180,0,1,2.027213,1.44617,493.2881
3,0,180,0,2,2.005777,1.5018,498.5599
3,0,180,0,3,2.021274,1.48576,494.7376
3,0,180,30,0,2.04544,1.537767,488.8924
3,0,180,30,1,2.029534,1.611993,492.724
3,0,180,30,2,2.036019,1.640777,491.1545
3,0,180,30,3,2.04998,1.51963,487.8097
3,0,270,-30,0,2.043289,1.54447,489.4069
3,0,270,-30,1,2.046634,1.532633,488.6071
3,0,270,-30,2,2.050219,1.481147,487.7529
3,0,270,-30,3,1.999258,1.535437,500.1856
3,0,270,0,0,2.003968,1.60647,499.01
3,0,270,0,1,1.971097,1.499177,507.3316
3,0,270,0,2,2.007962,1.458307,498.0175
3,0,270,0,3,1.954543,1.48833,511.6286
3,0,270,30,0,2.007723,1.540077,498.0768
3,0,270,30,1,1.998882,1.47699,500.2796
3,0,270,30,2,1.974033,1.475477,506.5771
3,0,270,30,3,1.990759,1.453417,502.321
3,60,0,-30,0,2.939051,1.926567,340.2459
3,60,0,-30,1,2.859179,1.78617,349.7508
3,60,0,-30,2,2.840747,1.839504,352.0201
3,60,0,-30,3,2.746812,1.740063,364.0584
3,60,0,0,0,2.999287,2.265453,333.4125
3,60,0,0,1,2.964651,2.024233,337.3079
3,60,0,0,2,2.90519,2.016753,344.2115
